i,U,K,Px,Py,Pz,Ne
115,-57987367.74182649,29345146.350650817,-5495.586258233633,8582.715155095719,-4581.169559351312,18.0
116,-57972355.53051494,29354192.965988785,-5497.811225385711,8585.93197554442,-4579.187507749501,18.0
117,-57957969.46437093,29349090.93781319,-5496.021357273734,8586.633778941663,-4574.968751831347,18.0
118,-57944081.28342161,29342569.62559435,-5494.6479126102395,8585.070740353585,-4569.338179349112,18.0
119,-57930355.687434345,29334093.408750087,-5493.536134250775,8583.397307543453,-4566.9441064551265,18.0
120,-57917168.21315806,29326134.8852976,-5491.049512489422,8584.117476946465,-4569.769557874413,18.0
121,-57904344.513961956,29320454.489931192,-5489.659439074173,8585.233464651288,-4573.629311124924,18.0
122,-57891435.13012169,29314697.8014121,-5489.260529584408,8584.126093893798,-4574.774558890415,18.0
123,-57879009.54987449,29309725.825551648,-5489.808424322819,8583.505508628921,-4575.020026854449,18.0
124,-57866108.70620946,29313148.973526105,-5490.608661132068,8581.619720182764,-4575.448120307737,18.0
125,-57853194.87541374,29306223.652843706,-5494.78894331817,8578.176847928631,-4575.8926082447715,18.0
126,-57839169.071726054,29297556.800325517,-5497.921457147333,8576.621793999713,-4578.394930823419,18.0
127,-57825518.634893134,29287793.520148635,-5497.730988208909,8576.241666125172,-4581.9656469520405,18.0
128,-57811243.64894278,29279040.172184035,-5498.884427702337,8575.812753633443,-4586.5488404711405,18.0
129,-57796124.35766777,29277124.856475405,-5500.810301142633,8575.78983702583,-4589.825372816735,18.0
130,-57780498.251415774,29266566.734399922,-5502.738599855746,8575.89003155728,-4590.982246224439,18.0
131,-57765135.456094824,29258510.41857856,-5505.668470974846,8576.087055948168,-4591.252568350401,18.0
132,-57749805.43129215,29249370.254852943,-5510.552094355893,8575.096273438994,-4593.716648709036,18.0
133,-57734193.65588422,29241039.13548118,-5513.0577458731195,8573.39971706403,-4597.976336858197,18.0
134,-57718759.0404952,29233376.15951117,-5508.378600174156,8575.915300050023,-4599.729698199714,18.0
135,-57704152.76949181,29236538.35435675,-5500.783272062756,8579.171801127002,-4598.567667097719,18.0
136,-57689910.720603846,29251839.046664823,-5495.074556090672,8581.414866819106,-4595.813105934114,18.0
137,-57676257.18384368,29229764.70617022,-5490.333145131564,8584.120442101066,-4596.440215784275,20.0
138,-57663896.92233296,29255662.663661562,-5487.476844084577,8583.742220639555,-4600.0981250366385,20.0
139,-57651968.80633258,29261980.130490515,-5488.264634527821,8582.491772051906,-4602.818908198951,20.0
140,-57640762.20048534,29257849.190831475,-5489.325740583768,8582.6711411377,-4600.3619775717025,20.0
141,-57631356.62475329,29271867.2345371,-5490.3510955995325,8583.191366585419,-4594.377049930927,20.0
142,-57623194.245655745,29302765.90933706,-5491.299181158624,8583.203389766752,-4592.9367894200295,20.0
143,-57615612.806310855,29305145.18057008,-5492.488030629061,8581.333173656352,-4595.7970214897005,20.0
144,-57609511.114536695,29305367.438663643,-5494.694356055247,8579.932317385841,-4598.029696833769,20.0
145,-57604661.76222288,29318015.744897548,-5496.243726017681,8580.565464398927,-4598.191848958356,20.0
146,-57600474.09494414,29321537.744299453,-5494.50878204147,8581.441874008582,-4595.588751198166,20.0
147,-57597207.207253665,29320415.776088454,-5490.446950807013,8582.107068522837,-4590.814349043281,20.0
148,-57594733.14341349,29324647.08633907,-5489.6298617965,8584.062544987688,-4586.6655464918595,20.0
149,-57592413.98596132,29339802.171833605,-5489.278130504692,8586.908292818875,-4584.156923746716,20.0
150,-57590260.5439985,29342338.081519585,-5487.65675715233,8586.890558494051,-4581.475827670475,20.0
151,-57588340.385535076,29344609.34583776,-5485.583608858911,8584.44357760377,-4577.097112430071,20.0
152,-57585932.05953998,29346451.747836687,-5483.123677777434,8581.580344028762,-4573.340602289759,20.0
153,-57583369.19400426,29348556.140460007,-5480.9728728847085,8575.734614498155,-4573.4876422533325,20.0
154,-57580548.63938398,29353144.993901063,-5478.597097785968,8568.843531248911,-4575.252018316653,20.0
155,-57577575.07715553,29354116.46789684,-5475.881577519867,8563.657077081272,-4576.240792635592,20.0
156,-57573822.74124644,29357391.015770514,-5474.368254344892,8560.286497942314,-4576.442736472935,20.0
157,-57569660.79020263,29359097.16496797,-5475.400520647261,8557.9857317345,-4576.385313102274,20.0
158,-57564789.25799243,29358197.06606587,-5475.007940841262,8555.257485474112,-4574.375536380235,20.0
159,-57559062.60028042,29361422.43512464,-5470.7614297190075,8550.158017771999,-4569.990740070625,20.0
160,-57553296.50214636,29374674.74522998,-5468.237112153258,8544.994417708673,-4566.268002817283,20.0
161,-57546081.58982769,29388832.719844513,-5470.762668101054,8543.364464367578,-4564.382654452313,20.0
162,-57538245.5220057,29390453.786928896,-5471.845017412152,8542.67869734877,-4563.281711508833,20.0
163,-57530190.32780054,29388161.36254366,-5471.759791040764,8543.860594642827,-4560.966210094975,20.0
164,-57522091.37513752,29397284.12285173,-5470.6244797764,8546.006380253033,-4559.63220512349,20.0
