i,U,K,Px,Py,Pz,Ne
114,-58065951.99361177,29505899.536115594,-5305.688953275879,8574.259819911946,-4676.433495417753,13.0
115,-58048852.04862888,29509854.279906813,-5305.6889532758205,8574.259819912024,-4676.433495417535,13.0
116,-58032029.466786094,29481778.874283433,-5305.688953275775,8574.259819911922,-4676.433495417627,15.0
117,-58014800.76129188,29468656.79061282,-5305.688953275825,8574.259819911907,-4676.433495417588,15.0
118,-57997951.75973509,29457640.555418547,-5305.688953275859,8574.25981991197,-4676.433495417573,15.0
119,-57982096.79412217,29455105.73772733,-5305.688953275893,8574.259819912,-4676.433495417601,15.0
120,-57966474.10965692,29450037.930371672,-5305.688953275884,8574.259819911942,-4676.433495417581,15.0
121,-57950940.72993556,29439940.996752903,-5305.688953275798,8574.25981991196,-4676.433495417666,15.0
122,-57935995.0343085,29427691.43600368,-5305.68895327575,8574.259819911902,-4676.4334954175865,15.0
123,-57921257.09619112,29416779.990346182,-5305.688953275903,8574.259819911962,-4676.4334954175965,15.0
124,-57907617.19573758,29406557.069409188,-5305.688953275874,8574.259819911957,-4676.433495417572,15.0
125,-57893700.58636107,29399963.014624093,-5305.688953275914,8574.259819911926,-4676.433495417617,15.0
126,-57879760.17643579,29396422.355791923,-5305.6889532758505,8574.259819911998,-4676.433495417555,15.0
127,-57866475.1860506,29388506.649375975,-5305.688953275846,8574.25981991189,-4676.433495417611,15.0
128,-57852434.49893804,29382157.631225847,-5305.688953275769,8574.259819911855,-4676.433495417632,15.0
129,-57837610.6880023,29374346.378321536,-5305.688953275898,8574.25981991197,-4676.433495417628,15.0
130,-57822660.3255827,29372158.4403365,-5305.688953275748,8574.259819911887,-4676.433495417617,15.0
131,-57807627.02753395,29366981.05478747,-5305.688953275886,8574.259819911991,-4676.433495417605,15.0
132,-57792996.390213706,29355095.31086115,-5305.688953275909,8574.25981991196,-4676.433495417612,15.0
133,-57778266.729710735,29347129.45262471,-5305.688953275898,8574.259819912018,-4676.433495417655,15.0
134,-57763987.90140875,29349531.74775275,-5305.688953275915,8574.25981991196,-4676.433495417581,15.0
135,-57749969.84720804,29373551.995267503,-5305.688953275797,8574.259819911927,-4676.433495417585,15.0
136,-57737396.59800302,29369389.827590253,-5305.688953275863,8574.259819911973,-4676.433495417584,15.0
137,-57725038.06089315,29366485.953018457,-5305.688953275818,8574.259819912033,-4676.43349541763,15.0
138,-57713863.574841306,29374854.71014575,-5305.6889532759005,8574.259819912004,-4676.433495417561,15.0
139,-57703998.260724805,29394897.206074383,-5305.688953275817,8574.259819911991,-4676.433495417568,15.0
140,-57694466.07321498,29425721.300778095,-5305.688953275825,8574.259819911871,-4676.433495417574,15.0
141,-57686089.18778412,29426856.200534146,-5305.6889532759415,8574.25981991196,-4676.433495417598,15.0
142,-57678399.86778315,29421902.879220184,-5305.688953275917,8574.259819911935,-4676.433495417644,15.0
143,-57671651.676894955,29423589.01951261,-5305.688953275874,8574.259819911964,-4676.433495417608,15.0
144,-57665284.40306284,29432082.046522006,-5305.68895327593,8574.259819911913,-4676.433495417631,15.0
145,-57660247.63340883,29434855.275454678,-5305.688953275841,8574.259819911907,-4676.433495417607,15.0
146,-57656207.26991868,29434566.18136748,-5305.688953275834,8574.259819911895,-4676.433495417604,15.0
147,-57652854.15544346,29435075.96220634,-5305.688953275802,8574.259819912038,-4676.433495417598,15.0
148,-57649689.69077848,29443020.45006807,-5305.688953275882,8574.259819911955,-4676.4334954175965,17.0
149,-57644224.478040725,29457530.502658084,-5305.688953275823,8574.259819911926,-4676.433495417626,17.0
150,-57640159.88695256,29458540.344569944,-5305.688953275916,8574.259819911935,-4676.43349541765,17.0
151,-57636757.91344019,29461874.113649745,-5305.688953275844,8574.259819911977,-4676.433495417637,17.0
152,-57632736.25685306,29463821.21861532,-5305.688953275848,8574.259819912078,-4676.433495417638,17.0
153,-57628798.240221374,29467175.696339175,-5305.688953275876,8574.259819911962,-4676.433495417645,17.0
154,-57624263.02626791,29472433.62169492,-5305.688953275884,8574.259819911806,-4676.433495417588,17.0
