i,U,K,Px,Py,Pz,Ne
115,-57973495.74179096,30198630.1425201,-5305.688953275845,8574.25981991187,-4676.43349541756,0.0
116,-57955120.99755424,30184815.634426534,-5305.688953275887,8574.25981991186,-4676.4334954176165,0.0
117,-57936901.179368265,30174415.6099949,-5305.688953275778,8574.259819911922,-4676.433495417551,0.0
118,-57918759.18344081,30163844.918629054,-5305.688953275904,8574.259819911853,-4676.433495417589,0.0
119,-57900829.586788066,30172102.209643077,-5305.688953275841,8574.259819912013,-4676.433495417644,0.0
120,-57882097.31609536,30164452.912293486,-5305.68895327589,8574.259819911853,-4676.433495417585,0.0
121,-57863849.07753327,30149838.951000914,-5305.688953275867,8574.259819911966,-4676.433495417613,0.0
122,-57845982.69072354,30136185.68162766,-5305.688953275833,8574.259819911846,-4676.433495417543,0.0
123,-57828260.86198481,30128069.933419783,-5305.688953275758,8574.259819911927,-4676.433495417585,0.0
124,-57810996.50130547,30116497.282416746,-5305.688953275918,8574.25981991192,-4676.433495417619,0.0
125,-57793697.05668334,30107670.373350058,-5305.688953275887,8574.259819911938,-4676.433495417632,0.0
126,-57777503.502558865,30097624.88359132,-5305.688953275825,8574.259819911933,-4676.433495417578,0.0
127,-57761314.120595865,30089866.753815845,-5305.688953275844,8574.25981991204,-4676.433495417636,0.0
128,-57745971.863990076,30083264.17305744,-5305.688953275859,8574.259819911897,-4676.433495417631,0.0
129,-57731339.959643334,30082362.50493169,-5305.688953275812,8574.259819911926,-4676.433495417617,0.0
130,-57716528.107115895,30073085.60589964,-5305.688953275795,8574.259819911935,-4676.433495417661,0.0
131,-57702288.66377555,30065174.313630436,-5305.688953275879,8574.259819911966,-4676.433495417663,0.0
132,-57688355.59494212,30053734.72224184,-5305.688953275861,8574.259819911906,-4676.43349541761,0.0
133,-57674987.25676604,30055814.160700772,-5305.688953275888,8574.259819911958,-4676.433495417616,0.0
134,-57662546.06012625,30080752.987629842,-5305.68895327587,8574.25981991196,-4676.433495417619,0.0
135,-57650253.901208684,30087214.58222196,-5305.688953275846,8574.259819911984,-4676.433495417692,0.0
136,-57638424.397042505,30108118.204933606,-5305.688953275886,8574.259819911975,-4676.433495417565,0.0
137,-57627248.5794626,30105492.52408033,-5305.68895327589,8574.259819911951,-4676.43349541759,0.0
138,-57616871.62353614,30142739.531264804,-5305.688953275837,8574.259819911926,-4676.433495417614,0.0
139,-57607343.192003235,30260139.03389057,-5305.688953275793,8574.25981991193,-4676.433495417668,0.0
140,-57597605.88153096,30253928.857016772,-5305.688953275885,8574.259819911902,-4676.43349541764,0.0
141,-57588967.469361305,30255332.63625054,-5305.688953275878,8574.259819911975,-4676.433495417585,0.0
142,-57581028.74436468,30271727.827628143,-5305.68895327586,8574.259819911933,-4676.433495417613,0.0
143,-57573415.36400759,30305536.09970753,-5305.688953275857,8574.25981991193,-4676.433495417617,0.0
144,-57566592.20925166,30302855.272562977,-5305.688953275855,8574.259819911973,-4676.433495417565,0.0
145,-57560343.00806153,30306653.311562512,-5305.688953275879,8574.259819911867,-4676.433495417614,0.0
146,-57555160.07817109,30307953.160287645,-5305.688953275793,8574.25981991189,-4676.433495417599,0.0
147,-57550153.2323287,30315015.29377097,-5305.688953275765,8574.259819911942,-4676.433495417627,0.0
148,-57545166.465857945,30314908.349789973,-5305.688953275828,8574.25981991198,-4676.433495417617,0.0
149,-57540099.03131766,30311947.56270263,-5305.688953275884,8574.259819911971,-4676.433495417602,0.0
150,-57535634.2462474,30310686.254427396,-5305.688953275868,8574.25981991192,-4676.433495417646,0.0
151,-57530887.92460971,30312678.904581156,-5305.688953275931,8574.259819911951,-4676.433495417547,0.0
152,-57525805.84959762,30323829.27253529,-5305.688953275831,8574.259819911938,-4676.433495417596,0.0
153,-57520660.35469665,30332089.51780933,-5305.688953275822,8574.259819911931,-4676.433495417529,0.0
154,-57515665.45775822,30330389.31911941,-5305.688953275902,8574.259819911966,-4676.433495417591,0.0
155,-57510928.13499107,30354384.070110295,-5305.688953275853,8574.259819911882,-4676.433495417628,0.0
156,-57505252.47636228,30432125.657150388,-5305.688953275891,8574.259819911922,-4676.433495417605,0.0
157,-57499554.19189408,30441873.970185578,-5305.688953275806,8574.259819912008,-4676.433495417647,0.0
158,-57493444.969532035,30451949.968352627,-5305.68895327586,8574.259819911998,-4676.433495417604,0.0
159,-57488279.75327907,30454163.895132914,-5305.68895327593,8574.259819911997,-4676.433495417573,0.0
160,-57482877.68558641,30462799.045207966,-5305.68895327589,8574.25981991191,-4676.4334954176165,0.0
161,-57477554.59620148,30469743.952116508,-5305.688953275893,8574.259819911995,-4676.433495417631,0.0
162,-57471791.3254517,30484678.805347174,-5305.688953275798,8574.259819912028,-4676.433495417622,0.0
163,-57465971.71313218,30496422.939401053,-5305.6889532758705,8574.25981991194,-4676.433495417627,0.0
164,-57460125.86018524,30493685.250218723,-5305.6889532758305,8574.259819912006,-4676.433495417559,0.0
165,-57453982.42071476,33590112.0793544,-5305.688953275837,8574.259819911966,-4676.433495417631,0.0
166,-57444394.78860364,43022941.53191037,-5305.688953275859,8574.259819911933,-4676.4334954175965,0.0
167,-57436304.02002444,43026700.59770774,-5305.688953275903,8574.259819911802,-4676.433495417623,0.0
168,-57428435.645275585,43024824.502035715,-5305.688953275901,8574.25981991203,-4676.43349541758,0.0
169,-57419568.432172656,43024080.06192333,-5305.6889532759,8574.25981991186,-4676.433495417614,0.0
170,-57411192.86262487,43022687.680013716,-5305.6889532758805,8574.259819911886,-4676.433495417639,0.0
171,-57402150.08405192,43028229.29185319,-5305.688953275833,8574.259819912037,-4676.433495417599,0.0
172,-57393125.93245749,43174444.793091975,-5305.688953275817,8574.25981991197,-4676.4334954176475,0.0
173,-57381906.44690386,43602705.21013266,-5305.6889532758905,8574.259819912035,-4676.433495417639,0.0
174,-57371414.68755908,43609146.04902862,-5305.688953275878,8574.259819911906,-4676.433495417577,0.0
175,-57361067.785594285,43636802.21590305,-5305.688953275866,8574.25981991213,-4676.43349541762,0.0
176,-57351005.75100279,43631680.29767425,-5305.6889532758,8574.259819911917,-4676.433495417597,0.0
