i,U,K,Px,Py,Pz,Ne
73,-58613046.93965939,29764619.470671948,-5305.688953275806,8574.259819911988,-4676.433495417519,11.0
74,-58599771.75293122,29754522.33538258,-5305.688953275828,8574.259819912006,-4676.433495417632,11.0
75,-58587180.23229201,29742943.352414574,-5305.688953275836,8574.259819912028,-4676.433495417628,11.0
76,-58572412.88084573,29735092.50192154,-5305.6889532758205,8574.259819912113,-4676.433495417709,11.0
77,-58557284.45148374,29758132.30468207,-5305.688953275869,8574.259819911977,-4676.433495417491,12.0
78,-58540396.34853835,29743270.809152953,-5305.688953275818,8574.259819911991,-4676.433495417687,13.0
79,-58523317.02858028,29734947.74569028,-5305.688953275887,8574.259819911922,-4676.43349541762,13.0
80,-58505495.923568405,29725498.962194994,-5305.688953275805,8574.259819911862,-4676.433495417554,13.0
81,-58486434.27005207,29715362.667756714,-5305.6889532758105,8574.259819912044,-4676.4334954176475,13.0
82,-58467526.84818936,29706580.62594143,-5305.688953275853,8574.25981991202,-4676.4334954176475,13.0
83,-58448289.850138605,29693963.088544276,-5305.688953275803,8574.25981991202,-4676.433495417628,13.0
84,-58429123.40252974,29677717.05840181,-5305.68895327589,8574.259819912002,-4676.433495417479,13.0
85,-58410157.44045891,29660776.664430056,-5305.688953275694,8574.259819911995,-4676.433495417567,13.0
86,-58391630.73206762,29666241.253438525,-5305.688953275805,8574.259819911878,-4676.433495417599,13.0
87,-58372186.50486069,29642252.209517114,-5305.688953275893,8574.259819911975,-4676.433495417511,15.0
88,-58352913.52578003,29628560.64123657,-5305.688953275831,8574.259819911871,-4676.433495417675,15.0
89,-58334998.97391846,29619899.716546133,-5305.688953275856,8574.259819912035,-4676.433495417629,15.0
90,-58316066.163249664,29616733.487993035,-5305.6889532757505,8574.25981991205,-4676.433495417612,15.0
91,-58297195.5677332,29591605.529825922,-5305.688953275872,8574.259819911977,-4676.433495417502,17.0
92,-58279988.18590654,29582706.662766125,-5305.688953275925,8574.259819911827,-4676.43349541756,17.0
93,-58261581.52292241,29585303.364552636,-5305.688953275785,8574.259819911982,-4676.433495417659,17.0
94,-58242495.08689153,29593139.212913588,-5305.688953275863,8574.259819911986,-4676.433495417614,17.0
95,-58224317.236046575,29585196.489507005,-5305.68895327585,8574.259819911984,-4676.433495417552,17.0
96,-58205157.3627052,29571742.893144224,-5305.688953275872,8574.25981991197,-4676.433495417624,17.0
97,-58186012.9289705,29561943.670011707,-5305.688953275813,8574.259819911947,-4676.433495417774,17.0
98,-58166325.983063795,29552165.104014456,-5305.688953275764,8574.25981991185,-4676.433495417697,17.0
99,-58146589.69502681,29541791.22757638,-5305.68895327589,8574.259819911937,-4676.433495417675,17.0
100,-58128090.34151031,29532296.503798652,-5305.68895327563,8574.259819912037,-4676.433495417662,17.0
101,-58109464.818484835,29519927.758773766,-5305.6889532758805,8574.259819911997,-4676.433495417679,17.0
102,-58090206.627729505,29505988.99320894,-5305.688953275894,8574.259819911913,-4676.433495417494,17.0
103,-58070944.05672802,29497265.50090108,-5305.688953275838,8574.259819911977,-4676.433495417539,17.0
104,-58052754.50864403,29489542.941553578,-5305.688953275864,8574.259819912071,-4676.4334954177475,17.0
105,-58033918.36200325,29482152.616031546,-5305.688953275903,8574.259819911942,-4676.433495417601,17.0
106,-58016034.26263498,29471631.30268249,-5305.688953275917,8574.259819912035,-4676.433495417599,17.0
107,-57997649.691521175,29459249.36290928,-5305.688953275841,8574.259819911838,-4676.433495417772,17.0
108,-57979636.68116248,29445355.98943735,-5305.688953275707,8574.259819911966,-4676.433495417583,17.0
