i,U,K,Px,Py,Pz
158,-57458586.05422859,31294507.4419928,-5305.688953275853,8574.259819911977,-4676.433495417613
159,-57452594.75698496,31294606.932379454,-5305.688953275835,8574.25981991189,-4676.433495417567
160,-57447321.89201508,31373532.52569535,-5305.68895327588,8574.259819911997,-4676.4334954176675
161,-57440889.84525785,31605978.272063613,-5305.688953275805,8574.25981991199,-4676.433495417594
162,-57434514.01827586,31614097.2270421,-5305.6889532758105,8574.259819911911,-4676.433495417583
163,-57428580.08084852,31612428.21192054,-5305.68895327588,8574.259819911946,-4676.433495417592
164,-57422527.158631004,31622258.985740833,-5305.6889532758605,8574.259819911897,-4676.43349541757
165,-57416350.50669484,31656595.856955662,-5305.688953275868,8574.259819911887,-4676.4334954176675
166,-57409781.39134278,31657367.881379783,-5305.688953275845,8574.2598199119,-4676.433495417581
167,-57402885.21057196,31658509.16688609,-5305.688953275827,8574.259819911971,-4676.433495417654
168,-57395878.277001165,31656465.919295017,-5305.688953275855,8574.259819911835,-4676.4334954176275
169,-57388246.64753531,31655084.401153345,-5305.688953275806,8574.25981991204,-4676.433495417625
170,-57380775.0038497,31655151.25519785,-5305.6889532758905,8574.259819912004,-4676.433495417525
171,-57373312.01744874,31662606.016720094,-5305.688953275915,8574.259819911958,-4676.433495417622
172,-57365639.67541132,31665073.70815878,-5305.688953275865,8574.259819912013,-4676.433495417653
173,-57358161.45925935,31667513.24817555,-5305.688953275865,8574.2598199119,-4676.433495417599
174,-57350845.954793006,31664109.322632875,-5305.688953275866,8574.259819911966,-4676.433495417602
175,-57343120.48307257,31662595.801321484,-5305.688953275895,8574.259819911953,-4676.433495417698
176,-57335324.97926113,31659701.441235326,-5305.688953275837,8574.25981991195,-4676.433495417634
177,-57327288.334005065,31655330.534033887,-5305.688953275857,8574.259819911998,-4676.433495417605
178,-57319748.89288442,31655655.78533395,-5305.688953275818,8574.25981991184,-4676.433495417615
179,-57311331.62682755,31655621.569347207,-5305.688953275835,8574.259819911897,-4676.433495417606
180,-57302726.66281709,31651135.29810305,-5305.688953275834,8574.259819912006,-4676.433495417615
181,-57294462.57799422,31646215.58096226,-5305.688953275849,8574.25981991173,-4676.433495417652
182,-57285251.537764475,31639242.098244343,-5305.688953275847,8574.259819911964,-4676.433495417602
183,-57276248.01046239,31634972.753307223,-5305.688953275838,8574.259819912024,-4676.433495417653
184,-57265851.53221656,31635976.91459505,-5305.6889532759205,8574.259819911922,-4676.4334954176065
185,-57255180.60706857,31627610.23141613,-5305.688953275882,8574.259819911911,-4676.433495417605
186,-57244744.35816769,31621661.769922942,-5305.688953275792,8574.259819912031,-4676.43349541763
187,-57232637.51489059,31622232.660252836,-5305.688953275818,8574.259819911982,-4676.4334954175865
188,-57220344.55409068,31617045.62371798,-5305.688953275809,8574.259819911957,-4676.433495417604
189,-57207139.20648364,31610094.226183824,-5305.68895327585,8574.259819912002,-4676.433495417558
190,-57193027.90646821,31602168.766100425,-5305.688953275847,8574.259819911897,-4676.433495417554
191,-57178818.73645526,31593941.83592284,-5305.688953275828,8574.259819912011,-4676.433495417596
192,-57163185.15065619,31583016.657578908,-5305.688953275791,8574.259819912098,-4676.433495417672
193,-57147013.23845513,31574891.74799846,-5305.688953275815,8574.25981991194,-4676.433495417595
194,-57130976.36680463,31573532.11491861,-5305.688953275788,8574.259819911926,-4676.433495417655
195,-57114130.24108588,31565207.261490524,-5305.688953275817,8574.259819911897,-4676.433495417644
196,-57097107.99228359,31551809.394571047,-5305.688953275853,8574.259819911964,-4676.433495417654
197,-57080266.635191955,31540657.31597129,-5305.6889532757805,8574.259819911973,-4676.433495417599
198,-57063471.77687384,31533831.930210568,-5305.6889532758305,8574.25981991195,-4676.433495417625
199,-57046381.52690414,31537474.1177665,-5305.688953275825,8574.259819911984,-4676.433495417567
200,-57029709.24320733,31529293.11627973,-5305.688953275851,8574.259819911975,-4676.43349541762
