i,U,K,Px,Py,Pz
109,-58852096.76979304,30730389.444478363,-5305.688953275879,8574.259819911955,-4676.43349541759
110,-58853802.421879455,30733030.18273638,-5305.688953275781,8574.25981991193,-4676.433495417599
111,-58855411.82258051,30736377.246722322,-5305.688953275883,8574.259819911937,-4676.433495417483
112,-58857357.0699754,30738257.691818826,-5305.688953275854,8574.259819912051,-4676.433495417567
113,-58859280.99765182,30741524.548448715,-5305.688953275826,8574.259819911898,-4676.433495417648
114,-58861341.526124544,30745057.730044305,-5305.68895327586,8574.259819911958,-4676.433495417682
115,-58863391.64621905,30766311.693830192,-5305.688953275915,8574.259819911902,-4676.4334954176675
116,-58865047.02706024,30835086.914701745,-5305.688953275826,8574.259819912017,-4676.4334954176675
117,-58866714.05507639,30837556.80597499,-5305.688953275957,8574.259819911877,-4676.4334954176275
118,-58868403.371759444,30843138.49811805,-5305.688953275891,8574.259819911853,-4676.433495417553
119,-58869619.69913973,30856054.810032096,-5305.688953275903,8574.259819912219,-4676.433495417587
120,-58871273.478400946,30858537.060559496,-5305.688953275919,8574.259819912024,-4676.433495417665
121,-58872808.210339814,30862066.846051738,-5305.688953275858,8574.259819911964,-4676.433495417634
122,-58874236.65579569,30866638.272879038,-5305.688953275849,8574.259819912144,-4676.433495417649
123,-58875699.65442156,30871928.527230687,-5305.688953275817,8574.259819911998,-4676.4334954175465
124,-58876921.05493557,30874224.24112859,-5305.6889532758805,8574.259819911898,-4676.433495417541
125,-58877997.06586471,30876900.148247574,-5305.6889532758305,8574.259819911907,-4676.433495417639
126,-58878693.42363989,30880705.5365978,-5305.688953275842,8574.25981991191,-4676.433495417606
127,-58879501.802657485,30885961.64510831,-5305.688953275859,8574.259819911975,-4676.433495417545
128,-58879712.5038188,30887817.0666354,-5305.6889532757805,8574.25981991193,-4676.433495417595
129,-58879941.94603532,30890245.83884516,-5305.68895327589,8574.259819911971,-4676.433495417629
130,-58880130.36824108,30892222.45884532,-5305.688953275862,8574.259819911998,-4676.4334954176575
131,-58880429.84798851,30895285.10918122,-5305.68895327589,8574.25981991201,-4676.433495417688
132,-58880578.76378149,30898921.49071442,-5305.68895327586,8574.259819912006,-4676.433495417647
133,-58880377.00547502,30899799.466252383,-5305.688953275852,8574.259819912091,-4676.43349541761
134,-58880067.03848564,30901836.162314527,-5305.688953275873,8574.259819912031,-4676.433495417581
135,-58879563.39775771,30904138.41204643,-5305.688953275841,8574.259819911802,-4676.433495417613
136,-58878903.88939406,30906239.256071154,-5305.688953275787,8574.259819911877,-4676.433495417566
137,-58877871.12552153,30905976.555060852,-5305.6889532758405,8574.25981991203,-4676.433495417619
138,-58876598.18056002,30906078.6269907,-5305.688953275821,8574.259819911926,-4676.433495417512
139,-58875171.71446496,30906435.101910662,-5305.688953275874,8574.259819912013,-4676.433495417565
140,-58873385.187237084,30906915.5411117,-5305.68895327579,8574.259819911927,-4676.433495417643
141,-58871739.082692,30905661.92475121,-5305.688953275831,8574.259819911947,-4676.433495417609
142,-58869886.88439365,30907087.472371828,-5305.68895327585,8574.259819911887,-4676.433495417588
143,-58867536.28065665,30915165.40042165,-5305.688953275834,8574.259819911937,-4676.433495417599
144,-58865096.47805736,30914606.36701045,-5305.688953275868,8574.259819912046,-4676.433495417592
145,-58862393.85570637,30914723.916059513,-5305.688953275811,8574.259819911911,-4676.4334954176
146,-58859856.55234717,30913298.104345154,-5305.6889532758105,8574.25981991201,-4676.433495417655
147,-58856828.80509909,30911798.258287895,-5305.688953275811,8574.259819912028,-4676.433495417644
148,-58853481.89991327,30910761.938983943,-5305.6889532758805,8574.259819912002,-4676.43349541758
149,-58850457.085182175,30908805.60447459,-5305.6889532759105,8574.25981991199,-4676.433495417594
150,-58847011.42514712,30907517.359229483,-5305.688953275834,8574.259819911926,-4676.43349541757
151,-58843720.589195736,30908071.663273145,-5305.6889532758205,8574.259819911882,-4676.433495417576
152,-58840091.12170006,30908201.630298924,-5305.688953275833,8574.259819911817,-4676.433495417675
153,-58836762.1283862,30906259.774967693,-5305.6889532758305,8574.259819912024,-4676.433495417587
154,-58833144.72343439,30904083.67041687,-5305.688953275829,8574.259819911898,-4676.433495417626
155,-58829504.62927093,30902278.213207655,-5305.688953275847,8574.259819911895,-4676.433495417589
156,-58826144.48909227,30900795.91107637,-5305.688953275837,8574.259819911918,-4676.433495417661
157,-58822384.111918814,30898799.007619657,-5305.688953275859,8574.259819911886,-4676.43349541755
158,-58818675.02303578,30896371.041470855,-5305.688953275849,8574.25981991209,-4676.43349541752
159,-58815081.485791095,30894165.927177474,-5305.688953275835,8574.259819912104,-4676.433495417571
160,-58811467.86252076,30891225.760200154,-5305.688953275835,8574.259819911817,-4676.433495417625
161,-58807725.82737632,30889202.99636343,-5305.688953275866,8574.25981991189,-4676.433495417666
162,-58804098.57220304,30888801.885091264,-5305.688953275911,8574.259819912193,-4676.433495417524
163,-58800264.82803505,30887218.15085637,-5305.68895327583,8574.259819911942,-4676.433495417669
164,-58795891.71822384,30888471.16541973,-5305.688953275815,8574.259819911847,-4676.433495417661
165,-58791519.97568217,30893176.15002891,-5305.688953275814,8574.259819911998,-4676.433495417478
166,-58787302.32729609,30890099.76855888,-5305.688953275827,8574.259819911897,-4676.433495417546
167,-58783147.8078351,30887362.98470019,-5305.688953275856,8574.259819911884,-4676.433495417547
168,-58778962.50400406,30883155.3130226,-5305.688953275873,8574.259819911962,-4676.433495417624
169,-58774496.144180976,30880810.203352448,-5305.6889532758005,8574.259819911882,-4676.433495417583
170,-58770157.31357861,30879281.07351853,-5305.688953275863,8574.259819912128,-4676.433495417669
171,-58765432.35290803,30876157.51015962,-5305.688953275847,8574.259819911847,-4676.433495417561
172,-58760973.4008576,30874055.219114363,-5305.688953275887,8574.259819911893,-4676.433495417572
173,-58756434.00293932,30877470.723043527,-5305.688953275903,8574.259819912044,-4676.433495417638
174,-58751836.65999464,30873967.833668564,-5305.688953275902,8574.259819911873,-4676.433495417644
175,-58746774.2084427,30869654.70412495,-5305.688953275838,8574.259819911835,-4676.433495417578
176,-58741570.77947576,30864786.89866547,-5305.688953275861,8574.25981991183,-4676.433495417551
177,-58736335.35266669,30868477.932488196,-5305.688953275889,8574.259819912077,-4676.433495417527
178,-58731208.77195256,30888288.629140347,-5305.688953275919,8574.259819912057,-4676.433495417578
179,-58726075.04861417,30887045.995857976,-5305.6889532758405,8574.259819911967,-4676.433495417485
