i,U,K,Px,Py,Pz
83,-58540630.32447285,30183421.432477646,-5305.688953295798,8574.25981989573,-4676.433495378579
84,-58526524.01900749,30186719.199611884,-5305.688953298712,8574.259819896979,-4676.433495377157
85,-58511946.802345164,30207929.461002585,-5305.688953300634,8574.259819899067,-4676.433495375353
86,-58496954.0680998,30199667.760174654,-5305.6889532987725,8574.259819903386,-4676.433495376734
87,-58482446.74597493,30198090.68584776,-5305.688953295043,8574.25981991183,-4676.433495377745
88,-58467307.979827575,30196504.925518844,-5305.688953294256,8574.259819918469,-4676.433495378985
89,-58452199.62335907,30194413.526382018,-5305.688953295662,8574.259819917012,-4676.43349537992
90,-58436781.1266527,30190042.57820213,-5305.68895330091,8574.259819914952,-4676.433495377827
91,-58421368.33623761,30178519.458282087,-5305.688953304483,8574.25981991591,-4676.433495375707
92,-58405649.96088337,30169632.795863982,-5305.688953306617,8574.259819915955,-4676.433495376969
93,-58389776.51939963,30161042.428533465,-5305.68895330858,8574.25981991555,-4676.433495375811
94,-58373300.6998235,30164879.80299125,-5305.688953309846,8574.259819912313,-4676.433495375035
95,-58356289.878469065,30152891.684019566,-5305.688953313157,8574.259819908859,-4676.433495372272
96,-58338456.119954206,30144288.100831594,-5305.688953315712,8574.259819910305,-4676.433495372285
97,-58320194.958973445,30134796.858850516,-5305.688953319602,8574.259819913854,-4676.433495376247
98,-58301963.757313594,30131319.858917963,-5305.688953322592,8574.259819917412,-4676.4334953805965
99,-58283300.591949,30130390.49536417,-5305.688953322264,8574.259819920651,-4676.433495380996
100,-58264473.07035103,30117156.35034099,-5305.688953321424,8574.259819920562,-4676.43349537747
101,-58245984.01213378,30104510.555108342,-5305.688953318246,8574.259819918962,-4676.433495378443
102,-58226657.698586956,30103179.187611453,-5305.688953314921,8574.259819916084,-4676.433495377753
103,-58207268.98604265,30092658.506319772,-5305.688953312423,8574.25981991248,-4676.433495378205
104,-58187932.59518077,30092149.553670906,-5305.6889533113645,8574.259819914143,-4676.433495380896
105,-58169159.319865525,30085949.089162916,-5305.688953313904,8574.259819920302,-4676.4334953794405
106,-58150004.59426893,30079157.520748697,-5305.688953317589,8574.259819927107,-4676.4334953784255
107,-58131178.79729319,30067576.899017647,-5305.6889533226,8574.259819930006,-4676.433495379887
108,-58112753.469102085,30054573.019095767,-5305.6889533285885,8574.25981993117,-4676.43349538216
109,-58094255.13310771,30044438.389690213,-5305.688953330691,8574.25981993038,-4676.4334953835105
110,-58075577.55004047,30055812.25908299,-5305.6889533320555,8574.259819928393,-4676.43349538706
111,-58056485.05012204,30104707.855199296,-5305.688953333501,8574.259819928848,-4676.433495393019
