i,U,K,Px,Py,Pz,Ne
181,-73149767.6134745,38365828.508875586,-4244.551162620581,6859.4078559295485,-3741.1467963341074,77.0
182,-73125661.7238044,38355331.66420704,-4244.551162620578,6859.407855929511,-3741.1467963341074,77.0
183,-73100370.22286153,38355332.34758374,-4244.551162620621,6859.407855929636,-3741.1467963341365,77.0
184,-73075084.75955822,38349664.83839697,-4244.551162620653,6859.407855929526,-3741.14679633414,77.0
185,-73049071.7156992,38351594.799838446,-4244.551162620719,6859.407855929805,-3741.146796334106,77.0
186,-73022417.12727024,38346632.57475545,-4244.55116262063,6859.40785592952,-3741.14679633414,77.0
187,-72995724.13286868,38340143.73002947,-4244.551162620646,6859.407855929632,-3741.146796334089,77.0
188,-72967887.54004905,38339358.55261486,-4244.551162620585,6859.407855929581,-3741.146796334143,77.0
189,-72940333.59253107,38324443.214398414,-4244.551162620566,6859.4078559295285,-3741.146796334078,77.0
190,-72913019.98705469,38318505.67555151,-4244.551162620668,6859.407855929605,-3741.146796334142,77.0
191,-72886236.92037058,38309677.35791845,-4244.551162620685,6859.407855929569,-3741.1467963341947,77.0
192,-72861798.46091822,38300391.73674723,-4244.551162620619,6859.407855929653,-3741.1467963341497,77.0
193,-72838346.01214358,38289849.674524926,-4244.551162620693,6859.407855929565,-3741.1467963341543,77.0
194,-72816188.86267722,38288605.237125784,-4244.551162620645,6859.407855929512,-3741.146796334182,77.0
195,-72796470.21293436,38288106.63265559,-4244.551162620701,6859.407855929625,-3741.1467963340533,77.0
196,-72778593.6096457,38289941.84743923,-4244.551162620688,6859.407855929568,-3741.1467963340797,77.0
197,-72761604.1073809,38292206.76803248,-4244.551162620558,6859.407855929475,-3741.1467963340338,77.0
198,-72744798.72165258,38336581.29366801,-4244.551162620613,6859.4078559296,-3741.146796334103,77.0
199,-72727242.18407565,38338141.88027948,-4244.551162620582,6859.407855929512,-3741.1467963340765,79.0
200,-72706922.3893503,38313563.74208351,-4244.551162620657,6859.40785592961,-3741.146796334084,81.0
